Front,Back,Tag
determine,動詞,Verb
assess,動詞,Verb
analyze,動詞,Verb
examine,動詞,Verb
identify,動詞,Verb
provide,動詞,Verb
require,動詞,Verb
support,動詞,Verb
maintain,動詞,Verb
deploy,動詞,Verb
implement,動詞,Verb
perform,動詞,Verb
retrieve,動詞,Verb
verify,動詞,Verb
establish,動詞,Verb
monitor,動詞,Verb
secure,動詞,Verb
protect,動詞,Verb
prevent,動詞,Verb
recommend,動詞,Verb
configure,動詞,Verb
enable,動詞,Verb
disable,動詞,Verb
review,動詞,Verb
evaluate,動詞,Verb
calculate,動詞,Verb
compare,動詞,Verb
inspect,動詞,Verb
detect,動詞,Verb
respond,動詞,Verb
recover,動詞,Verb
contain,動詞,Verb
eradicate,動詞,Verb
authorize,動詞,Verb
authenticate,動詞,Verb
encrypt,動詞,Verb
decrypt,動詞,Verb
validate,動詞,Verb
investigate,動詞,Verb
document,動詞,Verb
report,動詞,Verb
manage,動詞,Verb
operate,動詞,Verb
control,動詞,Verb
isolate,動詞,Verb
update,動詞,Verb
patch,動詞,Verb
install,動詞,Verb
remove,動詞,Verb
allow,動詞,Verb
deny,動詞,Verb
mitigate,動詞,Verb
reduce,動詞,Verb
increase,動詞,Verb
measure,動詞,Verb
record,動詞,Verb
collect,動詞,Verb
transmit,動詞,Verb
receive,動詞,Verb
connect,動詞,Verb
disconnect,動詞,Verb
execute,動詞,Verb
store,動詞,Verb
backup,動詞,Verb
restore,動詞,Verb
schedule,動詞,Verb
assign,動詞,Verb
define,動詞,Verb
develop,動詞,Verb
design,動詞,Verb
test,動詞,Verb
audit,動詞,Verb
track,動詞,Verb
correct,動詞,Verb
approve,動詞,Verb
reject,動詞,Verb
enforce,動詞,Verb
govern,動詞,Verb
prioritize,動詞,Verb
classify,動詞,Verb
correlate,動詞,Verb
centralize,動詞,Verb
segment,動詞,Verb
separate,動詞,Verb
harden,動詞,Verb
filter,動詞,Verb
route,動詞,Verb
scan,動詞,Verb
enumerate,動詞,Verb
discover,動詞,Verb
exploit,動詞,Verb
monitoring,動詞,Verb
logging,動詞,Verb
troubleshoot,動詞,Verb
synchronize,動詞,Verb
communicate,動詞,Verb
integrate,動詞,Verb
purpose,一般英語,General
benefit,一般英語,General
concern,一般英語,General
requirement,一般英語,General
policy,一般英語,General
procedure,一般英語,General
guideline,一般英語,General
recommendation,一般英語,General
boundary,一般英語,General
environment,一般英語,General
facility,一般英語,General
location,一般英語,General
communication,一般英語,General
reliability,一般英語,General
availability,一般英語,General
frequency,一般英語,General
impact,一般英語,General
value,一般英語,General
asset,一般英語,General
evidence,一般英語,General
service,一般英語,General
system,一般英語,General
network,一般英語,General
process,一般英語,General
operation,一般英語,General
business,一般英語,General
organization,一般英語,General
department,一般英語,General
vendor,一般英語,General
customer,一般英語,General
partner,一般英語,General
employee,一般英語,General
manager,一般英語,General
owner,一般英語,General
operator,一般英語,General
engineer,一般英語,General
analyst,一般英語,General
security,一般英語,General
control,一般英語,General
device,一般英語,General
application,一般英語,General
database,一般英語,General
server,一般英語,General
workstation,一般英語,General
account,一般英語,General
credential,一般英語,General
password,一般英語,General
certificate,一般英語,General
session,一般英語,General
connection,一般英語,General
request,一般英語,General
response,一般英語,General
traffic,一般英語,General
message,一般英語,General
event,一般英語,General
log,一般英語,General
alert,一般英語,General
incident,一般英語,General
threat,一般英語,General
risk,一般英語,General
vulnerability,一般英語,General
exposure,一般英語,General
likelihood,一般英語,General
consequence,一般英語,General
downtime,一般英語,General
maintenance,一般英語,General
compliance,一般英語,General
governance,一般英語,General
architecture,一般英語,General
framework,一般英語,General
implementation,一般英語,General
configuration,一般英語,General
documentation,一般英語,General
inventory,一般英語,General
baseline,一般英語,General
standard,一般英語,General
exception,一般英語,General
condition,一般英語,General
objective,一般英語,General
goal,一般英語,General
responsibility,一般英語,General
authority,一般英語,General
capability,一般英語,General
performance,一般英語,General
efficiency,一般英語,General
capacity,一般英語,General
resource,一般英語,General
visibility,一般英語,General
awareness,一般英語,General
training,一般英語,General
education,一般英語,General
leadership,一般英語,General
culture,一般英語,General
improvement,一般英語,General
assessment,一般英語,General
analysis,一般英語,General
inspection,一般英語,General
review,一般英語,General
finding,一般英語,General
observation,一般英語,General
which,疑問詞,Question
what,疑問詞,Question
when,疑問詞,Question
where,疑問詞,Question
why,疑問詞,Question
how,疑問詞,Question
who,疑問詞,Question
whom,疑問詞,Question
whose,疑問詞,Question
best,比較表現,Comparison
most,比較表現,Comparison
least,比較表現,Comparison
greater,比較表現,Comparison
lower,比較表現,Comparison
higher,比較表現,Comparison
maximum,比較表現,Comparison
minimum,比較表現,Comparison
primary,比較表現,Comparison
secondary,比較表現,Comparison
effective,比較表現,Comparison
recommended,比較表現,Comparison
secure,比較表現,Comparison
safer,比較表現,Comparison
stronger,比較表現,Comparison
weaker,比較表現,Comparison
better,比較表現,Comparison
worse,比較表現,Comparison
faster,比較表現,Comparison
slower,比較表現,Comparison
within,前置詞・副詞,Preposition
between,前置詞・副詞,Preposition
against,前置詞・副詞,Preposition
through,前置詞・副詞,Preposition
during,前置詞・副詞,Preposition
among,前置詞・副詞,Preposition
across,前置詞・副詞,Preposition
toward,前置詞・副詞,Preposition
throughout,前置詞・副詞,Preposition
before,前置詞・副詞,Preposition
after,前置詞・副詞,Preposition
under,前置詞・副詞,Preposition
over,前置詞・副詞,Preposition
inside,前置詞・副詞,Preposition
outside,前置詞・副詞,Preposition
around,前置詞・副詞,Preposition
near,前置詞・副詞,Preposition
from,前置詞・副詞,Preposition
into,前置詞・副詞,Preposition
onto,前置詞・副詞,Preposition
PLC,ICS用語,ICS
RTU,ICS用語,ICS
HMI,ICS用語,ICS
SCADA,ICS用語,ICS
Historian,ICS用語,ICS
Modbus,ICS用語,ICS
PROFIBUS,ICS用語,ICS
OPC,ICS用語,ICS
SIS,ICS用語,ICS
Purdue Model,ICS用語,ICS
Control System,ICS用語,ICS
Industrial Control System,ICS用語,ICS
Operational Technology,ICS用語,ICS
Field Device,ICS用語,ICS
Actuator,ICS用語,ICS
Sensor,ICS用語,ICS
Valve,ICS用語,ICS
Pump,ICS用語,ICS
Motor,ICS用語,ICS
Controller,ICS用語,ICS
